,REF,Review Date,Cocoa Percent,Ingredients,Rating
0,2454,2019,76.0,3,3.25
1,2458,2019,76.0,3,3.5
2,2454,2019,76.0,3,3.75
3,2542,2021,68.0,3,3.0
4,2546,2021,72.0,3,3.0
5,2546,2021,80.0,3,3.25
6,2542,2021,68.0,3,3.5
7,797,2012,70.0,4,3.5
8,797,2012,63.0,4,3.75
9,1011,2013,70.0,4,2.75
10,1015,2013,70.0,4,2.75
11,1011,2013,70.0,4,3.0
12,1015,2013,70.0,4,3.0
13,1011,2013,70.0,4,3.25
14,1015,2013,70.0,4,3.25
15,1019,2013,70.0,4,3.25
16,1019,2013,70.0,4,3.5
17,1011,2013,70.0,4,3.75
18,1015,2013,70.0,4,4.0
19,1019,2013,63.0,3,4.0
20,1315,2014,70.0,4,2.75
21,1315,2014,70.0,4,3.5
22,1315,2014,70.0,4,3.5
23,1319,2014,70.0,4,3.75
24,1319,2014,70.0,4,4.0
25,1676,2015,70.0,4,2.75
26,1676,2015,70.0,4,3.0
27,1680,2015,70.0,4,3.5
28,1704,2015,70.0,4,3.5
29,1876,2016,63.0,4,3.75
30,2206,2018,70.0,4,3.5
31,2206,2018,63.0,4,3.75
32,2648,2021,70.0,4,4.0
33,1462,2015,70.0,2,3.75
34,1470,2015,70.0,2,3.75
35,2462,2020,74.0,2,3.25
36,2470,2020,70.0,2,3.5
37,705,2011,60.0,3,2.75
38,705,2011,80.0,3,3.25
39,705,2011,88.0,3,3.5
40,705,2011,72.0,3,3.5
41,2438,2019,70.0,2,2.5
42,2438,2019,70.0,2,2.75
43,2442,2019,70.0,2,2.75
44,2438,2019,70.0,2,3.0
45,370,2009,55.0,4,2.75
46,370,2009,70.0,4,3.0
47,316,2009,70.0,3,3.0
48,502,2010,75.0,4,2.75
49,508,2010,75.0,4,2.75
50,636,2011,75.0,4,3.75
51,1061,2013,75.0,5,2.5
52,1173,2013,75.0,5,2.5
53,1215,2014,65.0,6,2.75
54,1215,2014,75.0,5,2.75
55,1215,2014,75.0,5,3.0
56,1992,2017,75.0,6,3.5
57,1944,2017,70.0,3,3.5
58,1944,2017,70.0,3,3.5
59,1944,2017,70.0,3,3.5
60,1944,2017,70.0,3,3.5
61,1125,2013,60.0,4,2.5
62,1125,2013,60.0,4,3.0
63,1133,2013,60.0,4,3.0
64,1129,2013,80.0,4,3.25
65,1133,2013,60.0,4,3.25
66,1732,2016,60.0,3,2.5
67,1732,2016,60.0,3,2.5
68,1728,2016,60.0,3,2.75
69,1732,2016,60.0,3,2.75
70,1728,2016,60.0,3,3.0
71,2044,2018,70.0,3,3.0
72,147,2007,70.0,4,3.0
73,129,2007,70.0,4,3.5
74,175,2007,70.0,4,3.75
75,304,2008,70.0,4,2.75
76,363,2009,70.0,4,3.0
77,544,2010,70.0,4,3.0
78,470,2010,70.0,4,3.75
79,470,2010,70.0,4,4.0
80,725,2011,70.0,4,4.0
81,327,2009,70.0,2,2.75
82,464,2009,85.0,2,2.75
83,322,2009,70.0,2,3.0
84,464,2009,85.0,2,3.0
85,1964,2017,70.0,,3.0
86,1964,2017,70.0,,3.5
87,1145,2013,72.0,3,3.25
88,1145,2013,73.0,3,3.5
89,1494,2015,64.0,4,3.0
90,1494,2015,66.0,2,3.25
91,1498,2015,75.0,2,3.25
92,1498,2015,63.0,2,3.25
93,1498,2015,70.0,2,3.25
94,1498,2015,68.0,2,3.5
95,75,2006,66.0,4,3.75
96,123,2007,70.0,4,3.0
97,123,2007,70.0,4,3.0
98,123,2007,70.0,4,3.5
99,129,2007,70.0,4,3.5
100,170,2007,63.0,4,3.5
101,123,2007,70.0,4,3.75
102,979,2012,70.0,4,3.75
103,2088,2018,70.0,4,3.0
104,2088,2018,70.0,4,3.0
105,2092,2018,70.0,4,3.0
106,2092,2018,75.0,4,3.5
107,2434,2019,70.0,3,2.75
108,572,2010,85.0,4,2.75
109,572,2010,50.0,4,3.75
110,572,2010,75.0,4,3.75
111,572,2010,60.0,4,4.0
112,1065,2013,75.0,4,3.25
113,1259,2014,75.0,2,3.0
114,1852,2016,75.0,2,3.5
115,2586,2021,75.0,2,3.0
116,2586,2021,75.0,2,3.25
117,1379,2014,72.0,3,2.5
118,1379,2014,75.0,3,2.75
119,1375,2014,75.0,3,3.0
120,1379,2014,75.0,3,3.0
121,1602,2015,75.0,2,2.75
122,1602,2015,70.0,2,3.25
123,1534,2015,70.0,2,3.5
124,1534,2015,68.0,2,3.5
125,1598,2015,70.0,2,3.5
126,1602,2015,75.0,3,3.5
127,1534,2015,70.0,2,3.75
128,1598,2015,70.0,2,3.75
129,1598,2015,70.0,2,4.0
130,1904,2016,70.0,3,3.25
131,1904,2016,70.0,3,3.25
132,1928,2016,70.0,2,3.25
133,1928,2016,73.0,2,3.25
134,1724,2016,70.0,2,3.5
135,1900,2016,73.0,3,3.5
136,1904,2016,70.0,2,3.5
137,1908,2016,70.0,2,3.5
138,1724,2016,70.0,2,3.75
139,1904,2016,70.0,3,3.75
140,1928,2016,70.0,2,3.75
141,1908,2016,70.0,2,4.0
